,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count
145,146,146,이기적 유전자 :진화론의 새로운 패러다임 ,리처드 도킨스 지음 ;이상임 옮김,을유문화사,2010,9788932471631,03470,,491.51,자연과학 > 동물학 > 일반 동물학,91
146,147,146,곰탕 :김영탁 장편소설 ,지은이: 김영탁,Arte(아르테),2018,9788950973759,04810,1,813.7,문학 > 한국문학 > 소설,91
147,148,146,개인주의자 선언 :판사 문유석의 일상유감 ,지은이: 문유석,문학동네,2015,9788954637756,03300,,304.0,"사회과학 > 사회과학 > 강연집, 수필집, 연설문집",91
148,149,146,죽여 마땅한 사람들 ,피터 스완슨 지음 ;노진선 옮김,푸른숲,2016,9791156756552,03840,,843.6,문학 > 영미문학 > 소설,91
149,150,150,두 번째 지구는 없다 ,글·그림: 타일러 라쉬,RHK(알에이치코리아),2020,9788925556253,03300,,539.92,"기술과학 > 공학, 공업일반 > 위생, 도시, 환경공학",90
150,151,150,"규칙 없음 :넷플릭스, 지구상 가장 빠르고 유연한 기업의 비밀 ","리드 헤이스팅스,이경남 옮김",RHK(알에이치코리아),2020,9788925599632,03320,,325.1,사회과학 > 경제학 > 경영관리,90
151,152,150,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,,9788954608640,04830,1,833.6,문학 > 일본문학 > 소설,90
152,153,150,"진이, 지니 :정유정 장편소설 ",지은이: 정유정,은행나무,2019,9791189982140,03810,,813.7,문학 > 한국문학 > 소설,90
153,154,154,이만큼 가까이 :정세랑 장편소설 ,지은이: 정세랑,창비,2014,9788936434106,03810,,813.7,문학 > 한국문학 > 소설,89
154,155,154,"여자 둘이 살고 있습니다 :혼자도 결혼도 아닌, 조립식 가족의 탄생 ","지은이: 김하나,황선우",위즈덤하우스,2019,9791189709815,03810,,818.0,문학 > 한국문학 > 르포르타주 및 기타,89
155,156,156,신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ,마크 맨슨 지음 ;한재호 옮김,웅진씽크빅,2017,9788901219943,03190,,199.1,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈",88
156,157,156,공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가 ,유현준 지음,을유문화사,2020,9788932474274,03540,,540.04,기술과학 > 건축공학 > 건축공학,88
157,158,156,용의자 X의 헌신 - 제134회 나오키상 수상작,히가시노 게이고,재인,2017,9788990982704,03830,,833.6,문학 > 일본문학 > 소설,88
158,159,156,IT 좀 아는 사람 :비전공자도 IT 전문가처럼 생각하는 법 ,"닐 메타,김고명 옮김",윌북,2021,9791155813355,03320,,4.0,총류 > 총류 > 전산학,88
159,160,160,네 이웃의 식탁 :구병모 장편소설 ,지은이: 구병모,민음사,2018,9788937473197,04810,,813.7,문학 > 한국문학 > 소설,87
160,161,160,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,9788970129815,04840,1,843.6,문학 > 영미문학 > 소설,87
161,162,160,그녀는 다 계획이 있다 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,대원씨아이,2021,9791136264473,03830,,833.6,문학 > 일본문학 > 소설,87
162,163,163,이기적 유전자 ,리처드 도킨스 지음 ;이상임 옮김,을유문화사,2018,9788932473901,03470,,491.51,자연과학 > 동물학 > 일반 동물학,86
163,164,163,아가미 :구병모 장편소설 ,지은이: 구병모,자음과모음,2011,9788957075425,03810,,813.7,문학 > 한국문학 > 소설,86
164,165,163,요리코를 위해 :노리즈키 린타로 장편소설 ,지은이: 노리즈키 린타로 ;옮긴이: 이기웅,바이포엠,2020,9791196814342,03830,,833.6,문학 > 일본문학 > 소설,86
165,166,166,악의 :히가시노 게이고 장편소설 ,히가시노 게이고 [지음] ;양윤옥 옮김,현대문학,2008,9788972754190,03830,,833.6,문학 > 일본문학 > 소설,85
166,167,166,연금술사,파울로 코엘료 지음;최정수 옮김,문학동네,2001,9788982814471,03860,,879.0,문학 > 스페인문학 > 포르투갈문학,85
167,168,166,지적 대화를 위한 넓고 얕은 지식,채사장 지음,한빛비즈,2014,9788994120966,13100,,1.3,"총류 > 총류 > 지식, 학문 일반",85
168,169,166,체공녀 강주룡 :박서련 장편소설 ,지은이: 박서련,한겨레출판,2018,9791160401745,03810,,813.7,문학 > 한국문학 > 소설,85
169,170,166,미움받을 용기 :사랑과 진정한 자립에 대한 아들러의 가르침,"기시미 이치로,전경아 옮김",인플루엔셜,2016,9791186560129,03180,2,189.2,철학 > 심리학 > 응용심리학 일반,85
170,171,171,하마터면 열심히 살 뻔했다 :야매 득도 에세이 ,하완 지음,웅진씽크빅,2018,9788901223032,03810,,818.0,문학 > 한국문학 > 르포르타주 및 기타,84
171,172,171,창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ,지은이: 요나스 요나손 ;옮긴이: 임호경,열린책들,2013,9788932916194,03850,,859.7,문학 > 독일문학 > 기타 게르만 문학,84
172,173,171,오직 두 사람 :김영하 소설 ,지은이: 김영하,문학동네,2017,9788954645614,03810,,813.62,문학 > 한국문학 > 소설,84
173,174,171,(비울수록 사람을 더 채우는) 말그릇 ,김윤나 지음,카시오페아,2017,9791185952987,03190,,189.2,철학 > 심리학 > 응용심리학 일반,84
